timestamp,buy_from,sell_to,buy_price,sell_price,amount_usd,profit_usd,balance_usd,fees_paid_usd
2025-02-07T13:40:00,binance,coinbase,98017.73,98362.99,10000,15.16,14488.02,20.0252
2025-02-07T14:35:00,binance,coinbase,99351.62,99690.1,10000,14.01,14502.03,20.024
2025-02-12T13:35:00,coinbase,binance,94180.04,94524.18,10000,16.48,14518.51,20.0265
2025-02-13T07:00:00,binance,coinbase,95818.91,96115.0,10000,10.85,14529.36,20.0209
2025-02-18T01:10:00,binance,coinbase,95677.54,95970.99,10000,10.62,14539.98,20.0206
2025-02-18T01:15:00,binance,coinbase,95677.54,96054.58,10000,19.34,14559.32,20.0294
2025-02-18T01:20:00,binance,coinbase,95677.54,96087.55,10000,22.78,14582.09,20.0328
2025-02-18T16:15:00,binance,coinbase,95261.86,95600.45,10000,15.48,14597.58,20.0255
2025-02-21T09:15:00,binance,coinbase,98537.23,98905.39,10000,17.3,14614.87,20.0273
2025-02-21T12:30:00,binance,coinbase,98549.65,98916.47,10000,17.16,14632.03,20.0272
2025-02-21T12:50:00,binance,coinbase,98586.74,98955.31,10000,17.32,14649.35,20.0273
2025-02-21T14:35:00,coinbase,binance,98443.87,98781.42,10000,14.23,14663.58,20.0243
2025-02-21T15:40:00,binance,coinbase,97219.19,97603.66,10000,19.48,14683.06,20.0295
2025-02-21T16:10:00,binance,coinbase,98271.85,98639.27,10000,17.32,14700.38,20.0274
2025-02-21T16:20:00,binance,coinbase,98209.77,98520.63,10000,11.6,14711.98,20.0216
2025-02-21T16:25:00,coinbase,binance,98310.88,98644.08,10000,13.83,14725.82,20.0239
2025-02-21T18:50:00,coinbase,binance,96652.0,97028.03,10000,18.84,14744.66,20.0289
2025-02-21T19:15:00,coinbase,binance,96066.68,96447.42,10000,19.56,14764.22,20.0296
2025-02-21T19:40:00,coinbase,binance,95374.67,95754.6,10000,19.77,14783.98,20.0298
2025-02-21T19:45:00,coinbase,binance,95210.68,95623.21,10000,23.25,14807.24,20.0333
2025-02-21T20:10:00,coinbase,binance,95226.45,95597.82,10000,18.93,14826.17,20.029
2025-02-21T20:15:00,coinbase,binance,95266.38,95583.84,10000,13.27,14839.43,20.0233
